Year,Dyad,SRI observed,SRI expected,Home range overlap
2017,Ind1_Ind5,0.669352291,0.059332954,0.991685002
2017,Ind6_Ind1,0.682174113,0.060700071,0.991632753
2017,Ind6_Ind5,0.714494163,0.343793585,0.987516851
2017,Ind1_Ind3,0.631250974,0.191982364,0.987434181
2017,Ind3_Ind5,0.583738817,0.06385461,0.979144553
2017,Ind6_Ind3,0.608688978,0.065508426,0.985217572
2017,Ind1_Ind9,0.563734291,0.19027017,0.973785082
2017,Ind5_Ind9,0.546738399,0.131561037,0.971751173
2017,Ind6_Ind9,0.566318197,0.134943432,0.973786004
2017,Ind3_Ind9,0.531113354,0.21857188,0.969635603
2017,Ind1_Ind7,0.654568813,0.186927472,0.984424504
2017,Ind5_Ind7,0.703347639,0.139727151,0.989638368
2017,Ind6_Ind7,0.67304884,0.143108012,0.982323034
2017,Ind3_Ind7,0.568646232,0.21510038,0.975002079
2017,Ind9_Ind7,0.539893159,0.332359391,0.974850748
2017,Ind1_Ind2,0.680116155,0.060346358,0.987962617
2017,Ind2_Ind5,0.630107527,0.342024898,0.982814514
2017,Ind6_Ind2,0.66833485,0.343359669,0.986786381
2017,Ind2_Ind3,0.644924136,0.064987133,0.983591681
2017,Ind2_Ind9,0.54337021,0.134377426,0.969122517
2017,Ind2_Ind7,0.603595227,0.14272852,0.976569207
2017,Ind1_Ind4,0.631238155,0.188202586,0.98641696
2017,Ind4_Ind5,0.578045685,0.123061006,0.979183666
2017,Ind6_Ind4,0.596201359,0.126311384,0.981109758
2017,Ind3_Ind4,0.676365493,0.215949305,0.986357444
2017,Ind4_Ind9,0.547573821,0.31651827,0.972747253
2017,Ind4_Ind7,0.563196126,0.318333351,0.978174242
2017,Ind2_Ind4,0.645621827,0.125626214,0.981615249
2017,Ind1_Ind8,0.438128773,0.182131328,0.977469184
2017,Ind8_Ind5,0.427128678,0.05096968,0.977473147
2017,Ind6_Ind8,0.433222037,0.051991057,0.973359071
2017,Ind8_Ind3,0.408940685,0.203931686,0.972330705
2017,Ind8_Ind9,0.38414283,0.182640331,0.975015031
2017,Ind8_Ind7,0.417441029,0.17884605,0.981585727
2017,Ind2_Ind8,0.414370079,0.051670712,0.970788077
2017,Ind8_Ind4,0.395650649,0.182495803,0.974375581
2017,Ind1_Ind10,0.031395349,0.17493492,0.581350573
2017,Ind10_Ind5,0.031490015,0.064906855,0.588848013
2017,Ind6_Ind10,0.029565217,0.066372989,0.580886511
2017,Ind3_Ind10,0.042854892,0.197052979,0.570066222
2017,Ind10_Ind9,0.029840014,0.198057764,0.578271274
2017,Ind10_Ind7,0.034477229,0.195174952,0.5891283
2017,Ind2_Ind10,0.035978529,0.065824841,0.582584007
2017,Ind10_Ind4,0.033179135,0.196312121,0.570586924
2017,Ind8_Ind10,0.041666667,0.185013196,0.591392487
2017,Ind1_Ind19,0.019894771,0.177170647,0.49250552
2017,Ind19_Ind5,0.018366276,0.110574163,0.500264945
2017,Ind6_Ind19,0.01686313,0.113021657,0.495120629
2017,Ind3_Ind19,0.023230879,0.203125908,0.484172068
2017,Ind19_Ind9,0.015966387,0.285795633,0.490264662
2017,Ind19_Ind7,0.021315693,0.286704072,0.502842793
2017,Ind2_Ind19,0.021248774,0.112990946,0.494358671
2017,Ind19_Ind4,0.018606348,0.275355388,0.480568818
2017,Ind8_Ind19,0.019962736,0.172612607,0.507952622
2017,Ind10_Ind19,0.276330076,0.183484632,0.843426287
2017,Ind1_Ind14,0.02310536,0.068389414,0.61341691
2017,Ind14_Ind5,0.02287208,0.227586865,0.621555088
2017,Ind6_Ind14,0.021191646,0.229899446,0.610428868
2017,Ind3_Ind14,0.032663317,0.07371973,0.602663217
2017,Ind14_Ind9,0.018143216,0.120610296,0.616262406
2017,Ind14_Ind7,0.023903022,0.124301228,0.622704284
2017,Ind2_Ind14,0.027978478,0.226854367,0.613185838
2017,Ind14_Ind4,0.023797382,0.117275455,0.603818425
2017,Ind8_Ind14,0.030646718,0.06238034,0.625384618
2017,Ind10_Ind14,0.297674419,0.070234644,0.848367698
2017,Ind19_Ind14,0.248026316,0.1038254,0.78545011
2017,Ind1_Ind22,0.029385574,0.124221702,0.576966568
2017,Ind22_Ind5,0.029368576,0.056833207,0.584620012
2017,Ind6_Ind22,0.026876268,0.05800765,0.576950583
2017,Ind3_Ind22,0.038739599,0.138715957,0.566007671
2017,Ind22_Ind9,0.023124905,0.146467887,0.5828997
2017,Ind22_Ind7,0.029728982,0.144032216,0.585684458
2017,Ind2_Ind22,0.036692572,0.057668554,0.576055503
2017,Ind22_Ind4,0.030048243,0.144204576,0.56697644
2017,Ind8_Ind22,0.035662563,0.127839671,0.587130996
2017,Ind10_Ind22,0.246692149,0.126978083,0.894572688
2017,Ind19_Ind22,0.118275977,0.136207789,0.795053607
2017,Ind14_Ind22,0.193945128,0.056899425,0.892681031
2017,Ind1_Ind12,0.024507593,0.067079931,0.601929515
2017,Ind12_Ind5,0.025015934,0.324824268,0.609011076
2017,Ind6_Ind12,0.023095381,0.326732506,0.599946834
2017,Ind3_Ind12,0.033768352,0.072756385,0.591368913
2017,Ind12_Ind9,0.025221156,0.139335574,0.601014154
2017,Ind12_Ind7,0.025773196,0.146898478,0.610137949
2017,Ind2_Ind12,0.029416179,0.324286103,0.602684901
2017,Ind4_Ind12,0.027022546,0.131135986,0.59247416
2017,Ind8_Ind12,0.032055749,0.05943031,0.611821781
2017,Ind10_Ind12,0.362465501,0.072247817,0.933030371
2017,Ind19_Ind12,0.210649503,0.116656334,0.809935976
2017,Ind14_Ind12,0.268588771,0.230035893,0.866462231
2017,Ind22_Ind12,0.217471547,0.060515023,0.905988626
2017,Ind15_Ind1,0.021928507,0.143852411,0.623508269
2017,Ind15_Ind5,0.021144674,0.059875233,0.631991039
2017,Ind15_Ind6,0.01854067,0.061375508,0.623182063
2017,Ind15_Ind3,0.029115159,0.160239252,0.611264488
2017,Ind15_Ind9,0.020841157,0.183882061,0.629631843
2017,Ind15_Ind7,0.023089701,0.181664152,0.633207238
2017,Ind15_Ind2,0.025760072,0.060907738,0.623030467
2017,Ind15_Ind4,0.025024859,0.180463055,0.612618327
2017,Ind15_Ind8,0.026870512,0.145722299,0.634316636
2017,Ind15_Ind10,0.339990921,0.14659959,0.91034675
2017,Ind15_Ind19,0.253958587,0.168813647,0.833630059
2017,Ind15_Ind14,0.33869239,0.063657913,0.902464627
2017,Ind15_Ind22,0.210671573,0.113059988,0.882342085
2017,Ind15_Ind12,0.316568047,0.065535098,0.891841126
2017,Ind1_Ind34,0.027255929,0.187644501,0.620083353
2017,Ind34_Ind5,0.027274212,0.06738669,0.625811502
2017,Ind6_Ind34,0.024858064,0.069030571,0.618536597
2017,Ind34_Ind3,0.030958722,0.213804827,0.610330543
