ind1,ind2,SRI.observed,year,dyad
ind1,ind108,0.101799486,2011,ind1_ind108
ind2,ind108,0.087390762,2011,ind108_ind2
ind3,ind108,0.037202381,2011,ind108_ind3
ind4,ind108,0.038557214,2011,ind108_ind4
ind5,ind108,0.10887574,2011,ind108_ind5
ind6,ind108,0.062937063,2011,ind108_ind6
ind7,ind108,0.111111111,2011,ind108_ind7
ind8,ind108,0.100529101,2011,ind108_ind8
ind9,ind108,0.063214526,2011,ind108_ind9
ind10,ind108,0.035787321,2011,ind10_ind108
ind11,ind108,0,2011,ind108_ind11
ind12,ind108,0.036597428,2011,ind108_ind12
ind13,ind108,0.126213592,2011,ind108_ind13
ind14,ind108,0.084265964,2011,ind108_ind14
ind15,ind108,0.046696035,2011,ind108_ind15
ind16,ind108,0.07605985,2011,ind108_ind16
ind17,ind108,0.116578793,2011,ind108_ind17
ind18,ind108,0.096422074,2011,ind108_ind18
ind19,ind108,0.018867925,2011,ind108_ind19
ind20,ind108,0.054495913,2011,ind108_ind20
ind21,ind108,0.025493421,2011,ind108_ind21
ind22,ind108,0.040841584,2011,ind108_ind22
ind23,ind108,0.086092715,2011,ind108_ind23
ind24,ind108,0.096633416,2011,ind108_ind24
ind25,ind108,0.048366834,2011,ind108_ind25
ind26,ind108,0.115298088,2011,ind108_ind26
ind27,ind108,0.10421286,2011,ind108_ind27
ind28,ind108,0.125141563,2011,ind108_ind28
ind29,ind108,0.124860022,2011,ind108_ind29
ind30,ind108,0.018446602,2011,ind108_ind30
ind31,ind108,0.093622795,2011,ind108_ind31
ind32,ind108,0,2011,ind108_ind32
ind33,ind108,0,2011,ind108_ind33
ind34,ind108,0.090006618,2011,ind108_ind34
ind35,ind108,0.034591195,2011,ind108_ind35
ind36,ind108,0.0761347,2011,ind108_ind36
ind37,ind108,0.092260062,2011,ind108_ind37
ind38,ind108,0.162037037,2011,ind108_ind38
ind39,ind108,0.041963579,2011,ind108_ind39
ind40,ind108,0.112745098,2011,ind108_ind40
ind41,ind108,0.037340619,2011,ind108_ind41
ind42,ind108,0.099173554,2011,ind108_ind42
ind43,ind108,0.166899441,2011,ind108_ind43
ind44,ind108,0.109069354,2011,ind108_ind44
ind45,ind108,0.118954248,2011,ind108_ind45
ind46,ind108,0.033794163,2011,ind108_ind46
ind47,ind108,0.070990359,2011,ind108_ind47
ind48,ind108,0.096237337,2011,ind108_ind48
ind49,ind108,0.012016021,2011,ind108_ind49
ind50,ind108,0.118460613,2011,ind108_ind50
ind51,ind108,0.033195021,2011,ind108_ind51
ind52,ind108,0.043786982,2011,ind108_ind52
ind53,ind108,0.094392004,2011,ind108_ind53
ind54,ind108,0.087573964,2011,ind108_ind54
ind55,ind108,0.023373984,2011,ind108_ind55
ind56,ind108,0.006887052,2011,ind108_ind56
ind57,ind108,0.030956848,2011,ind108_ind57
ind58,ind108,0.010204082,2011,ind108_ind58
ind59,ind108,0,2011,ind108_ind59
ind60,ind108,0.033661741,2011,ind108_ind60
ind61,ind108,0.054884742,2011,ind108_ind61
ind62,ind108,0.124248497,2011,ind108_ind62
ind63,ind108,0.128435222,2011,ind108_ind63
ind64,ind108,0.013544018,2011,ind108_ind64
ind65,ind108,0.054384018,2011,ind108_ind65
ind66,ind108,0.046969697,2011,ind108_ind66
ind67,ind108,0.019296254,2011,ind108_ind67
ind68,ind108,0.007915567,2011,ind108_ind68
ind69,ind108,0.096837945,2011,ind108_ind69
ind70,ind108,0.070154578,2011,ind108_ind70
ind71,ind108,0.016216216,2011,ind108_ind71
ind72,ind108,0.0634278,2011,ind108_ind72
ind73,ind108,0.3125,2011,ind108_ind73
ind74,ind108,0.026558891,2011,ind108_ind74
ind75,ind108,0.00295858,2011,ind108_ind75
ind76,ind108,0.013513514,2011,ind108_ind76
ind77,ind108,0.037156704,2011,ind108_ind77
ind78,ind108,0.114684466,2011,ind108_ind78
ind79,ind108,0.026159334,2011,ind108_ind79
ind80,ind108,0,2011,ind108_ind80
ind81,ind108,0.017061611,2011,ind108_ind81
ind82,ind108,0.019165727,2011,ind108_ind82
ind83,ind108,0,2011,ind108_ind83
ind84,ind108,0,2011,ind108_ind84
ind85,ind108,0.062790698,2011,ind108_ind85
ind86,ind108,0.030612245,2011,ind108_ind86
ind87,ind108,0.024781341,2011,ind108_ind87
ind88,ind108,0.050647158,2011,ind108_ind88
ind89,ind108,0.049275362,2011,ind108_ind89
ind90,ind108,0.003527337,2011,ind108_ind90
ind91,ind108,0.032653061,2011,ind108_ind91
ind92,ind108,0.016059957,2011,ind108_ind92
ind93,ind108,0.003616637,2011,ind108_ind93
ind94,ind108,0,2011,ind108_ind94
ind95,ind108,0.01317716,2011,ind108_ind95
ind96,ind108,0.003508772,2011,ind108_ind96
ind97,ind108,0.020571429,2011,ind108_ind97
ind98,ind108,0.02484472,2011,ind108_ind98
ind99,ind108,0.009009009,2011,ind108_ind99
ind100,ind108,0.005420054,2011,ind100_ind108
ind101,ind108,0,2011,ind101_ind108
ind102,ind108,0.001915709,2011,ind102_ind108
ind103,ind108,0.002781641,2011,ind103_ind108
ind1,ind62,0.088737201,2011,ind1_ind62
ind2,ind62,0.0654102,2011,ind2_ind62
ind3,ind62,0.022077922,2011,ind3_ind62
ind4,ind62,0.066897347,2011,ind4_ind62
ind5,ind62,0.137320044,2011,ind5_ind62
ind6,ind62,0.08974359,2011,ind6_ind62
ind7,ind62,0.129807692,2011,ind62_ind7
ind8,ind62,0.080890973,2011,ind62_ind8
ind9,ind62,0.078760491,2011,ind62_ind9
ind10,ind62,0.018467221,2011,ind10_ind62
ind11,ind62,0.004792332,2011,ind11_ind62
ind12,ind62,0.079696395,2011,ind12_ind62
ind13,ind62,0.06885759,2011,ind13_ind62
ind14,ind62,0.063686467,2011,ind14_ind62
ind15,ind62,0.037337662,2011,ind15_ind62
ind16,ind62,0.080952381,2011,ind16_ind62
ind17,ind62,0.116955792,2011,ind17_ind62
ind18,ind62,0.097744361,2011,ind18_ind62
ind19,ind62,0.01059322,2011,ind19_ind62
ind20,ind62,0.051094891,2011,ind20_ind62
ind21,ind62,0.034829721,2011,ind21_ind62
ind22,ind62,0.042553191,2011,ind22_ind62
ind23,ind62,0.039840637,2011,ind23_ind62
ind24,ind62,0.065092166,2011,ind24_ind62
ind25,ind62,0.100062539,2011,ind25_ind62
ind26,ind62,0.117520216,2011,ind26_ind62
ind27,ind62,0.122977346,2011,ind27_ind62
ind28,ind62,0.120280475,2011,ind28_ind62
ind29,ind62,0.103575184,2011,ind29_ind62
ind30,ind62,0.010647737,2011,ind30_ind62
ind31,ind62,0.105194805,2011,ind31_ind62
ind32,ind62,0,2011,ind32_ind62
ind33,ind62,0.003795066,2011,ind33_ind62
ind34,ind62,0.078212291,2011,ind34_ind62
ind35,ind62,0.011267606,2011,ind35_ind62
ind36,ind62,0.061946903,2011,ind36_ind62
ind37,ind62,0.127737226,2011,ind37_ind62
ind38,ind62,0.080116959,2011,ind38_ind62
ind39,ind62,0.02403496,2011,ind39_ind62
ind40,ind62,0.126187962,2011,ind40_ind62
ind41,ind62,0.027591973,2011,ind41_ind62
ind42,ind62,0.098302687,2011,ind42_ind62
ind43,ind62,0.102692549,2011,ind43_ind62
ind44,ind62,0.086426593,2011,ind44_ind62
ind45,ind62,0.093446602,2011,ind45_ind62
